point_id,stratum,stratum_name,row,col,x,y,lon,lat,model_canopy
86,2,disagree_other,6187,5084,1264466.7472808722,293161.9319853422,-122.3629369,47.7934493,0
87,2,disagree_other,4499,7096,1268490.7472808722,296537.9319853422,-122.3468391,47.8029208,1
88,2,disagree_other,272,6712,1267722.7472808722,304991.9319853422,-122.3506417,47.8260511,0
89,2,disagree_other,7442,5622,1265542.7472808722,290651.9319853422,-122.3583578,47.7866281,0
90,2,disagree_other,5378,4520,1263338.7472808722,294779.9319853422,-122.3676563,47.7978225,0
91,2,disagree_other,7001,5363,1265024.7472808722,291533.9319853422,-122.3605358,47.7890174,0
92,2,disagree_other,7188,9798,1273894.7472808722,291159.9319853422,-122.3244297,47.7884692,0
93,2,disagree_other,4630,1637,1257572.7472808722,296275.9319853422,-122.3912349,47.8016054,0
94,2,disagree_other,7884,8083,1270464.7472808722,289767.9319853422,-122.3382695,47.7844707,0
95,2,disagree_other,375,5856,1266010.7472808722,304785.9319853422,-122.3575932,47.8253937,0
96,2,disagree_other,3380,3954,1262206.7472808722,298775.9319853422,-122.3725864,47.8087133,0
97,2,disagree_other,2051,7821,1269940.7472808722,301433.9319853422,-122.3413303,47.8164184,0
98,2,disagree_other,475,10926,1276150.7472808722,304585.9319853422,-122.3163065,47.8253887,0
99,2,disagree_other,3238,8187,1270672.7472808722,299059.9319853422,-122.3381626,47.8099507,0
100,2,disagree_other,2516,7641,1269580.7472808722,300503.9319853422,-122.3427211,47.81385,0
101,2,disagree_other,594,4453,1263204.7472808722,304347.9319853422,-122.3689782,47.8240403,0
102,2,disagree_other,2794,8258,1270814.7472808722,299947.9319853422,-122.3376555,47.8123923,1
103,2,disagree_other,7836,10603,1275504.7472808722,289863.9319853422,-122.3177798,47.7850022,0
104,2,disagree_other,2338,8451,1271200.7472808722,300859.9319853422,-122.3361573,47.8149127,0
105,2,disagree_other,4808,2407,1259112.7472808722,295919.9319853422,-122.3849407,47.8007149,0
106,3,both_canopy_5_15m,5407,6689,1267676.7472808722,294721.9319853422,-122.350005,47.7978993,1
107,3,both_canopy_5_15m,4735,6510,1267318.7472808722,296065.9319853422,-122.3515692,47.8015638,0
108,3,both_canopy_5_15m,4662,2191,1258680.7472808722,296211.9319853422,-122.3867221,47.8014914,0
109,3,both_canopy_5_15m,1777,5292,1264882.7472808722,301981.9319853422,-122.3619575,47.8176469,0
110,3,both_canopy_5_15m,6040,7823,1269944.7472808722,293455.9319853422,-122.3406781,47.7945514,0
111,3,both_canopy_5_15m,3951,5061,1264420.7472808722,297633.9319853422,-122.3634857,47.8057042,1
112,3,both_canopy_5_15m,4582,1584,1257466.7472808722,296371.9319853422,-122.3916741,47.8018626,0
113,3,both_canopy_5_15m,480,5620,1265538.7472808722,304575.9319853422,-122.3594973,47.8247925,1
114,3,both_canopy_5_15m,7041,6217,1266732.7472808722,291453.9319853422,-122.3535825,47.7888909,1
115,3,both_canopy_5_15m,4644,4734,1263766.7472808722,296247.9319853422,-122.3660342,47.8018696,0
116,3,both_canopy_5_15m,1586,8087,1270472.7472808722,302363.9319853422,-122.3392395,47.818996,0
117,3,both_canopy_5_15m,690,7432,1269162.7472808722,304155.9319853422,-122.3447139,47.8238374,0
118,3,both_canopy_5_15m,5350,8301,1270900.7472808722,294835.9319853422,-122.3368991,47.7983852,1
119,3,both_canopy_5_15m,3465,3428,1261154.7472808722,298605.9319853422,-122.3768528,47.8081896,0
120,3,both_canopy_5_15m,1810,7376,1269050.7472808722,301915.9319853422,-122.3449906,47.8176917,1
121,3,both_canopy_5_15m,148,5681,1265660.7472808722,305239.9319853422,-122.3590543,47.8266191,1
122,3,both_canopy_5_15m,3460,7419,1269136.7472808722,298615.9319853422,-122.3443769,47.8086512,0
123,3,both_canopy_5_15m,3569,3875,1262048.7472808722,298397.9319853422,-122.3731985,47.8076685,0
124,3,both_canopy_5_15m,1454,4138,1262574.7472808722,302627.9319853422,-122.3714024,47.8192914,1
125,3,both_canopy_5_15m,5361,7889,1270076.7472808722,294813.9319853422,-122.3402493,47.7982807,1
126,3,both_canopy_5_15m,32,5366,1265030.7472808722,305471.9319853422,-122.3616373,47.8272207,0
127,3,both_canopy_5_15m,5791,3306,1260910.7472808722,293953.9319853422,-122.3774658,47.7954254,0
128,3,both_canopy_5_15m,6320,5712,1265722.7472808722,292895.9319853422,-122.3578066,47.7927885,0
129,3,both_canopy_5_15m,871,5059,1264416.7472808722,303793.9319853422,-122.3640006,47.822588,1
130,3,both_canopy_5_15m,666,8901,1272100.7472808722,304203.9319853422,-122.3327601,47.8241265,1
131,3,both_canopy_5_15m,5440,10581,1275460.7472808722,294655.9319853422,-122.3183349,47.7981345,1
132,3,both_canopy_5_15m,2273,5930,1266158.7472808722,300989.9319853422,-122.3566849,47.8149972,0
133,3,both_canopy_5_15m,4081,5883,1266064.7472808722,297373.9319853422,-122.3567761,47.805081,1
134,3,both_canopy_5_15m,1433,8530,1271358.7472808722,302669.9319853422,-122.3356581,47.8198822,1
135,3,both_canopy_5_15m,3825,10150,1274598.7472808722,297885.9319853422,-122.3220957,47.8069422,1
136,3,both_canopy_5_15m,6256,9009,1272316.7472808722,293023.9319853422,-122.3309953,47.7934943,1
137,3,both_canopy_5_15m,5658,4971,1264240.7472808722,294219.9319853422,-122.3639418,47.7963369,1
138,3,both_canopy_5_15m,3243,5473,1265244.7472808722,299049.9319853422,-122.3602476,47.8096302,1
139,3,both_canopy_5_15m,5694,2949,1260196.7472808722,294147.9319853422,-122.380386,47.7959178,0
140,3,both_canopy_5_15m,1791,4949,1264196.7472808722,301953.9319853422,-122.3647469,47.8175327,1
141,3,both_canopy_5_15m,7527,9265,1272828.7472808722,290481.9319853422,-122.3287118,47.7865541,1
142,3,both_canopy_5_15m,7803,6502,1267302.7472808722,289929.9319853422,-122.3511419,47.7847445,0
143,3,both_canopy_5_15m,7151,6353,1267004.7472808722,291233.9319853422,-122.3524586,47.7883026,1
144,3,both_canopy_5_15m,7498,10363,1275024.7472808722,290539.9319853422,-122.319785,47.7868297,0
145,3,both_canopy_5_15m,4995,7414,1269126.7472808722,295545.9319853422,-122.3441724,47.800236,1
146,4,both_canopy_other,1166,5703,1265704.7472808722,303203.9319853422,-122.358711,47.821041,1
147,4,both_canopy_other,6050,10786,1275870.7472808722,293435.9319853422,-122.3165713,47.7948123,1
148,4,both_canopy_other,6129,6672,1267642.7472808722,293277.9319853422,-122.3500276,47.7939396,1
149,4,both_canopy_other,4697,2586,1259470.7472808722,296141.9319853422,-122.3835025,47.8013432,1
150,4,both_canopy_other,5933,1692,1257682.7472808722,293669.9319853422,-122.3905729,47.7944687,1
151,4,both_canopy_other,5302,2989,1260276.7472808722,294931.9319853422,-122.3801246,47.7980711,1
152,4,both_canopy_other,1293,6018,1266334.7472808722,302949.9319853422,-122.3561266,47.820379,1
153,4,both_canopy_other,3048,6529,1267356.7472808722,299439.9319853422,-122.3516855,47.8108137,0
154,4,both_canopy_other,7294,4850,1263998.7472808722,290947.9319853422,-122.3646613,47.7873554,1
155,4,both_canopy_other,6129,10971,1276240.7472808722,293277.9319853422,-122.3150539,47.7943987,1
156,4,both_canopy_other,1186,6049,1266396.7472808722,303163.9319853422,-122.3558915,47.8209689,1
157,4,both_canopy_other,5590,6777,1267852.7472808722,294355.9319853422,-122.3492598,47.7969056,1
158,4,both_canopy_other,5688,3633,1261564.7472808722,294159.9319853422,-122.3748223,47.796026,0
