point_id,label,crown_idx,crown_id,offcrown,off_grid,terminal_absent_epochs,terminal_laundered,terminal_laundered_posterior,terminal_censored,laundered_crown_obs1,laundered_crown_obs0,laundered_crown_missing,raw_trajectory,viterbi_trajectory,posterior_trajectory,crown_obs,n_epochs_touched,impossible_triples_raw,impossible_triples_healed,impossible_triples_posterior,healed_to_canopy,healed_to_ignore
1049,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
105,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1050,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1051,nochange,7523,EDM_0007522,0,0,1,1,1,0,1,0,0,CCCCC.CCCCC.,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCxCCCCCC,2,1,0,0,2,0
1052,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCCCC.C...,,,,0,1,0,0,0,0
1053,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1054,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1055,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1056,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1057,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1058,nochange,121097,EDM_0121096,0,0,1,1,1,0,0,0,1,CCCCCCCCCCC.,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCx,1,0,0,0,1,0
1059,nochange,0,,1,0,0,0,0,0,0,0,0,C.CCCC..CC.C,,,,0,2,0,0,0,0
106,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1060,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1061,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1062,nochange,78149,EDM_0078148,0,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,0,0,0,0,0,0
1063,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1064,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1065,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1066,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1067,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1068,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1069,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
107,nochange,0,,1,0,0,0,0,0,0,0,0,C.CC.CCCCCCC,,,,0,2,0,0,0,0
1070,nochange,0,,1,0,0,0,0,0,0,0,0,CCCC........,,,,0,0,0,0,0,0
1071,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1072,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1073,nochange,96877,EDM_0096876,0,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,0,0,0,0,0,0
1074,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1075,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1077,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1078,nochange,0,,1,0,0,0,0,0,0,0,0,....C.......,,,,0,0,0,0,0,0
1079,nochange,0,,1,0,0,0,0,0,0,0,0,..CCCCCCC...,,,,0,0,0,0,0,0
108,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1080,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1081,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1082,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1083,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1084,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
