unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
C2016_03797_02420,118,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2015,2016,2017,549929.0,5293323.0,26910,3797,2420,9,36.0,6.77,prev,1,lidar_chm2_2016_50cm,0,1,,
C2019_02529_02066,119,1,35,REVIEW|1-2|10-14,REVIEW,2,1,2,1-2,10-14,3,2017,2019,2020,549221.0,5295859.0,26910,2529,2066,26,104.0,11.51,prev,0,,,0,,
F2023_03236_02255,120,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2022,2023,2024,549599.0,5294445.0,26910,3236,2255,14,56.0,8.44,,0,,,0,,
C2023_01358_01454,121,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,547997.0,5298201.0,26910,1358,1454,11,44.0,7.48,next,0,,,0,,
F2017_03226_01096,122,0,34,REVIEW|1-2|8-10,REVIEW,1,2,2,1-2,8-10,3,2016,2017,2019,547281.0,5294465.0,26910,3226,1096,18,72.0,9.57,,1,lidar_chm2_2016_50cm,1,1,,
F2020_04425_00970,123,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2019,2020,2021,547029.0,5292067.0,26910,4425,970,11,44.0,7.48,,0,,,0,,
C2021_03565_01288,124,1,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2020,2021,2022,547665.0,5293787.0,26910,3565,1288,18,72.0,9.57,next,0,,,0,,
C2019_02894_01770,125,1,33,REVIEW|1-2|6-8,REVIEW,2,1,2,1-2,6-8,3,2017,2019,2020,548629.0,5295129.0,26910,2894,1770,11,44.0,7.48,prev,0,,,0,,
C2022_03558_02445,126,1,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2021,2022,2023,549979.0,5293801.0,26910,3558,2445,33,132.0,12.96,prev,0,,,0,,
F2017_04370_01854,127,0,34,REVIEW|1-2|8-10,REVIEW,1,2,2,1-2,8-10,3,2016,2017,2019,548797.0,5292177.0,26910,4370,1854,13,52.0,8.14,,1,lidar_chm2_2016_50cm,1,1,,
