crown_id,diameter_m,raw_states,healed_states,valid_from,valid_to,class,confidence,epochs_healed
75556,4.07,AAAAAPAA,AAAAAPAA,2019,2019,LOST,RAW,
75557,6.7,APPAPP?P,APPPPP?P,2011s,2024,GAINED,HEALED,2015
75558,3.55,AAPAPAAA,AAPPPAAA,2013,2016,LOST,HEALED,2015
75559,4.56,AAPPAPPP,AAPP?PPP,2013,2024,GAINED,BLIND,2016
75560,10.3,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75561,9.25,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75562,10.28,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75563,12.93,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75564,9.4,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75565,3.81,AAPPPPPP,AAPPPPPP,2013,2024,GAINED,RAW,
75566,8.34,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75567,4.5,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75568,4.54,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75569,8.18,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75570,10.73,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75571,4.76,PAPAAPPP,PAPAAPPP,2009,2024,FLICKERING,RAW,
75572,3.83,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75573,7.89,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75574,20.45,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75575,9.77,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75576,10.53,??PPPPPP,??PPPPPP,2013,2024,PERSISTENT,RAW,
75577,9.3,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75578,6.71,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75579,9.88,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75580,12.63,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75581,7.64,?PPPPPPP,?PPPPPPP,2011s,2024,PERSISTENT,RAW,
75582,13.85,?PPPPPPP,?PPPPPPP,2011s,2024,PERSISTENT,RAW,
75583,4.01,APAAPAPA,APAAP?PA,2011s,2021,LOST,TERMINAL,2019
75584,14.97,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75585,7.05,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75586,3.31,APPPPAAP,APPPPAAP,2011s,2024,GAINED,RAW,
75587,7.4,????PPPP,????PPPP,2016,2024,PERSISTENT,RAW,
75588,15.36,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75589,12.07,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75590,12.94,PP?PPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2013
75591,5.65,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75592,8.81,?PPPPPPP,?PPPPPPP,2011s,2024,PERSISTENT,RAW,
75593,4.31,PPAPPPPP,PPAPPPPP,2009,2024,FLICKERING,RAW,
75594,8.04,PPPPP?AA,PPPPP?AA,2009,2016,PERSISTENT,RAW,
75595,14.21,?PPPPPPP,?PPPPPPP,2011s,2024,PERSISTENT,RAW,
75596,11.64,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75597,13.26,P?PPPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2011s
75598,11.94,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75599,14.37,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75600,4.75,PPAPPPAP,PPPPPPAP,2009,2024,FLICKERING,HEALED,2013
75601,15.68,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75602,4.04,APAAPAAA,APAAPAAA,2011s,2016,LOST,RAW,
75604,4.89,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75605,7.66,APPPPPPP,APPPPPPP,2011s,2024,GAINED,RAW,
75606,8.45,APAAPPPP,APAAPPPP,2011s,2024,GAINED,RAW,
