curve_id,year,run_tag,ref,prob,canopy_def,eval_scope,policy,k,thresh,recall,precision,f1,tp,fn,fp,population,pr_auc,n_cuts,n_eligible_cuts,source,curve_file
34dfa874a259,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,sample-test,matched_p50,127,0.5,0.5117,0.5235,0.5176,306943,292856,279359,879158,0.5646,254,7,qc_indep_sweep_2006s_t1_2006s_add16_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/34dfa874a259.csv
731186aa5d4e,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,sample-selection,matched_p50,125,0.492125,0.5762,0.5001,0.5354,201378,148094,201335,550807,0.5522,254,8,qc_indep_sweep_2006s_t1_2006s_add16_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/731186aa5d4e.csv
34dfa874a259,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,sample-test,matched_p75,129,0.507874,0.0814,0.7866,0.1475,48826,550973,13247,613046,0.5646,254,5,qc_indep_sweep_2006s_t1_2006s_add16_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/34dfa874a259.csv
731186aa5d4e,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,sample-selection,matched_p75,129,0.507874,0.0413,0.7756,0.0784,14420,335052,4173,353645,0.5522,254,4,qc_indep_sweep_2006s_t1_2006s_add16_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/731186aa5d4e.csv
34dfa874a259,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,sample-test,matched_p90,130,0.511811,0.0065,0.9295,0.0128,3876,595923,294,600093,0.5646,254,4,qc_indep_sweep_2006s_t1_2006s_add16_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/34dfa874a259.csv
731186aa5d4e,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,sample-selection,matched_p90,131,0.515748,0.0011,0.9095,0.0022,382,349090,38,349510,0.5522,254,2,qc_indep_sweep_2006s_t1_2006s_add16_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/731186aa5d4e.csv
0c1a8001c249,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_only,,scored_live,,0.5,0.3975,0.5467,0.4603,138922,210550,115185,464657,,,,qc_indep_report.csv,
0c1a8001c249,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_only,,scored_live,,0.444881,0.7905,0.4373,0.5631,465916,123474,599523,1188913,,,,qc_indep_report.csv,
8b08cce8bb91,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,,scored_live,,0.5,0.3975,0.5467,0.4603,138922,210550,115185,464657,,,,qc_indep_report.csv,
8b08cce8bb91,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland,,scored_live,,0.444881,0.7894,0.4444,0.5687,473497,126302,591942,1191741,,,,qc_indep_report.csv,
f51df705d07e,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland_scrub,,scored_live,,0.5,0.3861,0.5538,0.455,140713,223756,113394,477863,,,,qc_indep_report.csv,
f51df705d07e,2006s,t1_2006s_add16,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_add16.tif,forest_wetland_scrub,,scored_live,,0.444881,0.7659,0.4515,0.5681,481085,147060,584354,1212499,,,,qc_indep_report.csv,
4dbf3b28e1dc,2006s,t1_2006s_base,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,forest_wetland,sample-selection,best_f1,62,0.244094,0.7993,0.6179,0.697,279339,70133,172745,522217,0.7508,254,189,qc_indep_sweep_2006s_t1_2006s_base_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/4dbf3b28e1dc.csv
cf5712b98e39,2006s,t1_2006s_base,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,forest_wetland,sample-test,best_f1,64,0.251968,0.7895,0.6847,0.7334,500387,133435,230409,864231,0.7945,254,190,qc_indep_sweep_2006s_t1_2006s_base_ccap_2016_hires_lc_sample-test.csv,phase4/qc/curves/cf5712b98e39.csv
d44e2f479eb6,2006s,t1_2006s_base,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,forest_wetland,sample-test,best_f1,65,0.255905,0.7496,0.6464,0.6942,449626,150173,245969,845768,0.7603,254,190,qc_indep_sweep_2006s_t1_2006s_base_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/d44e2f479eb6.csv
e860a51a8584,2006s,t1_2006s_base,_chm2005_canopy2m_binary.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,canopy_only,sample-test,best_f1,61,0.240157,0.8052,0.6925,0.7446,488467,118205,216884,823556,0.8108,254,190,qc_indep_sweep_2006s_t1_2006s_base__chm2005_canopy2m_binary_sample-test.csv,phase4/qc/curves/e860a51a8584.csv
4dbf3b28e1dc,2006s,t1_2006s_base,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,forest_wetland,sample-selection,matched_p50,55,0.216535,0.9498,0.5019,0.6568,331931,17541,329398,678870,0.7508,254,135,qc_indep_sweep_2006s_t1_2006s_base_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/4dbf3b28e1dc.csv
cf5712b98e39,2006s,t1_2006s_base,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,forest_wetland,sample-test,matched_p50,57,0.224409,0.9374,0.5218,0.6704,594119,39703,544499,1178321,0.7945,254,134,qc_indep_sweep_2006s_t1_2006s_base_ccap_2016_hires_lc_sample-test.csv,phase4/qc/curves/cf5712b98e39.csv
d44e2f479eb6,2006s,t1_2006s_base,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,forest_wetland,sample-test,matched_p50,58,0.228346,0.897,0.5069,0.6477,538038,61761,523467,1123266,0.7603,254,133,qc_indep_sweep_2006s_t1_2006s_base_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/d44e2f479eb6.csv
e860a51a8584,2006s,t1_2006s_base,_chm2005_canopy2m_binary.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,canopy_only,sample-test,matched_p50,53,0.208661,0.9599,0.5114,0.6673,582367,24305,556349,1163021,0.8108,254,138,qc_indep_sweep_2006s_t1_2006s_base__chm2005_canopy2m_binary_sample-test.csv,phase4/qc/curves/e860a51a8584.csv
4dbf3b28e1dc,2006s,t1_2006s_base,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,forest_wetland,sample-selection,matched_p75,81,0.318897,0.5433,0.7509,0.6305,189884,159588,62997,412469,0.7508,254,109,qc_indep_sweep_2006s_t1_2006s_base_ccap_2021_hires_lc_sample-selection.csv,phase4/qc/curves/4dbf3b28e1dc.csv
cf5712b98e39,2006s,t1_2006s_base,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,forest_wetland,sample-test,matched_p75,71,0.279527,0.6695,0.7547,0.7095,424335,209487,137940,771762,0.7945,254,120,qc_indep_sweep_2006s_t1_2006s_base_ccap_2016_hires_lc_sample-test.csv,phase4/qc/curves/cf5712b98e39.csv
d44e2f479eb6,2006s,t1_2006s_base,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_t1_2006s_base.tif,forest_wetland,sample-test,matched_p75,90,0.35433,0.5847,0.7504,0.6573,350718,249081,116649,716448,0.7603,254,101,qc_indep_sweep_2006s_t1_2006s_base_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/d44e2f479eb6.csv
