session,step,basis,gpu_present,samples,hours,gpu_busy_frac,gpu_util_mean,cpu50_frac,iowait10_frac,tx1_frac,rx1_frac,disk5_frac,nothing_frac,ambiguous_dropped,samples_parsed,span_hours,source_file,phase
healB,postproc,marker,1.0000,804,1.1167,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000,0.0000,0.9950,0,1728,2.4142,hw_healB.csv,open
healB,postproc,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0,1728,2.4142,hw_healB.csv,verifying
healC,(between),marker,1.0000,167,0.2319,0.0000,0.0000,0.0000,0.0000,0.0299,0.0000,0.0240,0.9461,0,3084,4.3108,hw_healC.csv,
healC,ALL,marker,1.0000,3084,4.2833,0.2399,17.5412,0.0665,0.0204,0.0781,0.0960,0.0850,0.5117,0,3084,4.3108,hw_healC.csv,
healC,VERIFY,marker,1.0000,201,0.2792,0.0000,0.0000,0.0000,0.0547,0.0000,0.3383,0.0000,0.6617,0,3084,4.3108,hw_healC.csv,verifying
healC,evaluate,marker,1.0000,7,0.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,3084,4.3108,hw_healC.csv,launching
healC,evaluate,marker,1.0000,14,0.0194,0.0714,2.5714,0.0000,0.0000,0.0000,0.0000,0.0000,0.9286,0,3084,4.3108,hw_healC.csv,open
healC,inference,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,3084,4.3108,hw_healC.csv,launching
healC,inference,marker,1.0000,726,1.0083,0.9187,68.3719,0.0000,0.0028,0.0000,0.0000,0.1226,0.0344,0,3084,4.3108,hw_healC.csv,open
healC,labels,marker,1.0000,4,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.7500,0,3084,4.3108,hw_healC.csv,launching
healC,postproc,marker,1.0000,6,0.0083,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0,3084,4.3108,hw_healC.csv,launching
healC,postproc,marker,1.0000,802,1.1139,0.0000,0.0000,0.0000,0.0000,0.2244,0.0000,0.0037,0.7718,0,3084,4.3108,hw_healC.csv,open
healC,tile,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,3084,4.3108,hw_healC.csv,launching
healC,tile,marker,1.0000,699,0.9708,0.0000,0.0000,0.0000,0.0701,0.0401,0.2918,0.1774,0.6509,0,3084,4.3108,hw_healC.csv,open
healC,tile,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,3084,4.3108,hw_healC.csv,verifying
healC,train,marker,1.0000,453,0.6292,0.1589,9.7638,0.4525,0.0022,0.0486,0.0530,0.0905,0.3532,0,3084,4.3108,hw_healC.csv,open
healC,train,marker,1.0000,2,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,3084,4.3108,hw_healC.csv,verifying
