point_id,stratum,stratum_name,x,y,kind,overlap_stratum,dup_of
376,1,cand_change,549143.0,5296009.0,live,1,
230,1,cand_change,550269.0,5298901.0,live,1,
1,1,cand_change,549805.0,5300765.0,live,1,
632,1,cand_change,547949.0,5296719.0,live,1,
623,1,cand_change,549485.0,5297237.0,live,1,
736,2,srs_floor,548261.0,5298279.0,live,4,
409,1,cand_change,550249.0,5299071.0,live,1,
1153,4,stable_other,546609.0,5294661.0,live,4,
49,1,cand_change,548829.0,5295471.0,live,1,
348,1,cand_change,549169.0,5296041.0,live,1,
356,1,cand_change,549363.0,5296869.0,live,1,
1244,4,stable_other,546843.0,5293845.0,live,4,
333,1,cand_change,547791.0,5297185.0,live,1,
943,3,stable_canopy,549211.0,5294513.0,live,3,
715,2,srs_floor,546525.0,5294263.0,live,4,
735,2,srs_floor,550057.0,5297835.0,live,1,
118,1,cand_change,547907.0,5293485.0,live,1,
1145,4,stable_other,548263.0,5295463.0,live,4,
926,3,stable_canopy,550121.0,5300339.0,live,3,
1059,4,stable_other,547411.0,5292199.0,live,4,
684,1,cand_change,549713.0,5299547.0,live,1,
673,1,cand_change,548131.0,5297479.0,live,1,
771,2,srs_floor,549589.0,5292629.0,live,4,
1006,4,stable_other,546989.0,5297017.0,live,4,
1198,4,stable_other,549063.0,5294441.0,live,4,
377,1,cand_change,547321.0,5295015.0,live,1,
196,1,cand_change,549029.0,5298529.0,live,1,
824,3,stable_canopy,546121.0,5294725.0,live,3,
126,1,cand_change,548643.0,5292245.0,live,1,
992,3,stable_canopy,548159.0,5296747.0,live,3,
1104,4,stable_other,546765.0,5293751.0,live,4,
846,3,stable_canopy,548055.0,5296671.0,live,3,
