unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
F2015_02631_01669,45,0,8,HEAL|1-2|10-14,HEAL,2,1,2,1-2,10-14,3,2013,2015,2016,548427.0,5295655.0,26910,2631,1669,33,132.0,12.96,,1,lidar_chm2_2016_50cm,-1,1,,
F2019_03000_01826,46,0,70,BLIND|3|8-10,BLIND,3,2,3,3,8-10,5,2016,2019,2021,548741.0,5294917.0,26910,3000,1826,14,56.0,8.44,,0,,,0,,
F2019_03826_01399,47,0,72,BLIND|3|14+,BLIND,3,2,3,3,14+,5,2016,2019,2021,547887.0,5293265.0,26910,3826,1399,58,232.0,17.19,,0,,,0,,
F2016_03110_01516,48,0,71,BLIND|3|10-14,BLIND,1,3,3,3,10-14,4,2015,2016,2019,548121.0,5294697.0,26910,3110,1516,21,84.0,10.34,,1,lidar_chm2_2016_50cm,0,1,,
C2019_02303_01467,49,1,70,BLIND|3|8-10,BLIND,3,2,3,3,8-10,5,2016,2019,2021,548023.0,5296311.0,26910,2303,1467,17,68.0,9.3,prev,0,,,0,,
F2019_03252_01656,50,0,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,548401.0,5294413.0,26910,3252,1656,10,40.0,7.14,,0,,,0,,
F2011s_03476_01314,51,0,7,HEAL|1-2|8-10,HEAL,2,2,2,1-2,8-10,4,2009,2011s,2013,547717.0,5293965.0,26910,3476,1314,14,56.0,8.44,,0,,,0,,
C2011s_01003_02468,52,1,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2009,2011s,2013,550025.0,5298911.0,26910,1003,2468,12,48.0,7.82,prev,0,,,0,,
F2019_04387_02272,53,0,70,BLIND|3|8-10,BLIND,3,2,3,3,8-10,5,2016,2019,2021,549633.0,5292143.0,26910,4387,2272,18,72.0,9.57,,0,,,0,,
C2015_02487_02097,54,1,6,HEAL|1-2|6-8,HEAL,2,1,2,1-2,6-8,3,2013,2015,2016,549283.0,5295943.0,26910,2487,2097,11,44.0,7.48,next,1,lidar_chm2_2016_50cm,-1,0,,
C2015_02206_01491,55,1,6,HEAL|1-2|6-8,HEAL,2,1,2,1-2,6-8,3,2013,2015,2016,548071.0,5296505.0,26910,2206,1491,9,36.0,6.77,next,1,lidar_chm2_2016_50cm,-1,1,,
C2011s_03113_00099,56,1,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2009,2011s,2013,545287.0,5294691.0,26910,3113,99,9,36.0,6.77,next,0,,,0,,
C2019_02697_00986,57,1,70,BLIND|3|8-10,BLIND,3,2,3,3,8-10,5,2016,2019,2021,547061.0,5295523.0,26910,2697,986,13,52.0,8.14,prev,0,,,0,,
F2015_03701_02238,58,0,5,HEAL|1-2|5-6,HEAL,2,1,2,1-2,5-6,3,2013,2015,2016,549565.0,5293515.0,26910,3701,2238,7,28.0,5.97,,1,lidar_chm2_2016_50cm,-1,0,,
F2019_03882_01254,59,0,68,BLIND|3|5-6,BLIND,3,2,3,3,5-6,5,2016,2019,2021,547597.0,5293153.0,26910,3882,1254,7,28.0,5.97,,0,,,0,,
F2019_04027_01393,60,0,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,547875.0,5292863.0,26910,4027,1393,11,44.0,7.48,,0,,,0,,
C2016_04518_01086,61,1,69,BLIND|3|6-8,BLIND,1,3,3,3,6-8,4,2015,2016,2019,547261.0,5291881.0,26910,4518,1086,10,40.0,7.14,next,1,lidar_chm2_2016_50cm,0,1,,
F2016_03994_00902,62,0,70,BLIND|3|8-10,BLIND,1,3,3,3,8-10,4,2015,2016,2019,546893.0,5292929.0,26910,3994,902,15,60.0,8.74,,1,lidar_chm2_2016_50cm,0,0,,
F2016_03263_00934,63,0,70,BLIND|3|8-10,BLIND,1,3,3,3,8-10,4,2015,2016,2019,546957.0,5294391.0,26910,3263,934,14,56.0,8.44,,1,lidar_chm2_2016_50cm,0,1,,
F2013_03853_00768,64,0,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2011s,2013,2015,546625.0,5293211.0,26910,3853,768,11,44.0,7.48,,0,,,0,,
C2021_02924_02430,65,1,70,BLIND|3|8-10,BLIND,2,3,3,3,8-10,5,2019,2021,2024,549949.0,5295069.0,26910,2924,2430,17,68.0,9.3,next,0,,,0,,
F2019_03754_00976,66,0,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,547041.0,5293409.0,26910,3754,976,9,36.0,6.77,,0,,,0,,
