point_id,label,stratum,stratum_name,estimator_stratum,x,y,verify_overturned
170,nochange,1,cand_change,1,549011.0,5295803.0,0
171,nochange,1,cand_change,1,547561.0,5295535.0,0
172,nochange,1,cand_change,1,549727.0,5298735.0,0
173,nochange,1,cand_change,1,548801.0,5295419.0,0
174,nochange,1,cand_change,1,546045.0,5295157.0,0
175,nochange,1,cand_change,1,550151.0,5300815.0,0
176,nochange,1,cand_change,1,549639.0,5299275.0,0
177,nochange,1,cand_change,1,548227.0,5292703.0,0
178,nochange,1,cand_change,1,546641.0,5294755.0,0
179,nochange,1,cand_change,1,548157.0,5295385.0,0
18,nochange,1,cand_change,1,546477.0,5295829.0,0
180,nochange,1,cand_change,1,548807.0,5295717.0,0
181,nochange,1,cand_change,1,548049.0,5296805.0,0
182,nochange,1,cand_change,1,547615.0,5292683.0,0
183,nochange,1,cand_change,1,549915.0,5294403.0,0
184,nochange,1,cand_change,1,549839.0,5299721.0,0
185,nochange,1,cand_change,1,546663.0,5294441.0,0
186,nochange,1,cand_change,1,547859.0,5293937.0,0
187,nochange,1,cand_change,1,549813.0,5300475.0,0
188,nochange,1,cand_change,1,548621.0,5297739.0,0
189,nochange,1,cand_change,1,549159.0,5299067.0,0
19,nochange,1,cand_change,1,548433.0,5295077.0,0
190,nochange,1,cand_change,1,549075.0,5298787.0,0
191,nochange,1,cand_change,1,548415.0,5295745.0,0
192,nochange,1,cand_change,1,547853.0,5295261.0,0
193,nochange,1,cand_change,1,547667.0,5293767.0,0
194,nochange,1,cand_change,1,547153.0,5294269.0,0
195,nochange,1,cand_change,1,550455.0,5299785.0,0
197,gain,1,cand_change,1,546799.0,5296353.0,1
198,loss,1,cand_change,1,549485.0,5292239.0,0
199,nochange,1,cand_change,1,548677.0,5292275.0,0
2,nochange,1,cand_change,1,549093.0,5297737.0,0
20,nochange,1,cand_change,1,549997.0,5300703.0,0
200,nochange,1,cand_change,1,548049.0,5292901.0,1
201,nochange,1,cand_change,1,548731.0,5295053.0,0
202,nochange,1,cand_change,1,547153.0,5292209.0,0
203,nochange,1,cand_change,1,547613.0,5297043.0,0
204,loss,1,cand_change,1,547195.0,5295005.0,0
