point_id,label,terminal_absent_epochs,terminal_laundered,terminal_censored,raw_trajectory,healed_trajectory,n_epochs_touched,epochs_touched,tiers_touched,impossible_triples_raw,impossible_triples_healed,healed_to_canopy,healed_to_ignore
123,nochange,0,0,0,.CCC.CCC,.CCCxCCC,1,2016,BLIND,1,0,0,1
1230,nochange,0,0,0,CCC.C..C,CCC.C..C,0,,,1,1,0,0
1231,nochange,0,0,0,CC....CC,CC....CC,0,,,0,0,0,0
1232,nochange,8,0,0,........,........,0,,,0,0,0,0
1233,nochange,0,0,0,CCC.CCCC,CCCCCCCC,1,2015,HEAL,1,0,1,0
1234,nochange,0,0,0,.CC.C.CC,.CC.C.CC,0,,,2,2,0,0
1235,nochange,8,0,0,........,........,0,,,0,0,0,0
1236,nochange,8,0,0,........,........,0,,,0,0,0,0
1237,nochange,2,0,0,.....C..,.....C..,0,,,0,0,0,0
1238,nochange,1,0,0,C.....C.,C.....C.,0,,,0,0,0,0
1239,nochange,8,0,0,........,........,0,,,0,0,0,0
124,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1240,nochange,8,0,0,........,........,0,,,0,0,0,0
1241,nochange,8,0,0,........,........,0,,,0,0,0,0
1242,nochange,8,0,0,........,........,0,,,0,0,0,0
1243,nochange,0,0,0,...C..CC,...C..CC,0,,,0,0,0,0
1244,nochange,5,0,0,..C.....,..C.....,0,,,0,0,0,0
1245,nochange,3,0,0,....C...,....C...,0,,,0,0,0,0
1246,nochange,1,0,0,CCCCCCC.,CCCCCCC.,0,,,0,0,0,0
1248,nochange,8,0,0,........,........,0,,,0,0,0,0
1249,nochange,8,0,0,........,........,0,,,0,0,0,0
125,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1250,nochange,8,0,0,........,........,0,,,0,0,0,0
126,nochange,1,0,0,CC.CCCC.,CCCCCCC.,1,2013,HEAL,1,0,1,0
127,nochange,8,0,0,........,........,0,,,0,0,0,0
128,nochange,8,0,0,........,........,0,,,0,0,0,0
129,nochange,8,0,0,........,........,0,,,0,0,0,0
13,nochange,8,0,0,........,........,0,,,0,0,0,0
130,nochange,8,0,0,........,........,0,,,0,0,0,0
131,loss,2,0,0,CCCCCC..,CCCCCC..,0,,,0,0,0,0
132,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
133,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
134,nochange,8,0,0,........,........,0,,,0,0,0,0
135,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
136,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
137,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
138,nochange,8,0,0,........,........,0,,,0,0,0,0
139,nochange,8,0,0,........,........,0,,,0,0,0,0
14,nochange,4,0,0,...C....,...C....,0,,,0,0,0,0
140,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
141,nochange,8,0,0,........,........,0,,,0,0,0,0
142,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
143,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
144,nochange,0,0,0,C.CCCCCC,C.CCCCCC,0,,,1,1,0,0
145,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
146,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
147,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
148,nochange,0,0,0,.CC.CCCC,.CCCCCCC,1,2015,HEAL,1,0,1,0
149,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
15,loss,5,0,0,C.C.....,C.C.....,0,,,1,1,0,0
150,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
151,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
152,nochange,8,0,0,........,........,0,,,0,0,0,0
153,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
154,nochange,8,0,0,........,........,0,,,0,0,0,0
155,nochange,8,0,0,........,........,0,,,0,0,0,0
156,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
157,nochange,3,0,0,CCCCC...,CCCCC...,0,,,0,0,0,0
158,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
159,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
16,loss,2,0,0,CCCCCC..,CCCCCC..,0,,,0,0,0,0
160,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
161,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
162,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
163,nochange,8,0,0,........,........,0,,,0,0,0,0
164,nochange,0,0,0,C.C..CCC,CCC..CCC,1,2011s,HEAL,1,0,1,0
165,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
166,nochange,8,0,0,........,........,0,,,0,0,0,0
167,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
168,nochange,8,0,0,........,........,0,,,0,0,0,0
