ref_id,resolver_state,resolver_doi,resolver_reason,splink_top_candidate,splink_top_doi,splink_match_weight,splink_match_probability,agrees_with_resolver
Burnicki_2011_spatio-temporal-errors-land-cover::b2,unresolved,,"best=crossref:0.70:10.6019/tol.st-data-visualisation-w.2026.00001.1; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1007/978-3-642-57991-2_17,10.1007/978-3-642-57991-2_17,-3.375886357723816,0.08786502797384102,False
Burnicki_2011_spatio-temporal-errors-land-cover::b3,unresolved,,"best=crossref:0.54:10.1201/9780203497586.ch2; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1080/00401706.1998.10485510,10.1080/00401706.1998.10485510,-9.052264642117017,0.0018800938600636121,False
Burnicki_2011_spatio-temporal-errors-land-cover::b4,ambiguous,,2 distinct works accepted at crossref,cr::10.2307/2641398,10.2307/2641398,24.06410325558826,0.9999999429857945,False
Burnicki_2011_spatio-temporal-errors-land-cover::b5,unresolved,,"best=crossref:1.00:10.1201/b16195-5; skipped=semanticscholar,arxiv (rate-limited)",cr::10.4135/9781849209755.n6,10.4135/9781849209755.n6,-2.7131074637900614,0.1323219475278147,False
Burnicki_2011_spatio-temporal-errors-land-cover::b6,resolved,10.1016/j.compenvurbsys.2006.07.005,via=crossref; ratio=1.00; year=2007,cr::10.1016/j.compenvurbsys.2006.07.005,10.1016/j.compenvurbsys.2006.07.005,27.069103936646627,0.9999999928978841,True
Burnicki_2011_spatio-temporal-errors-land-cover::b7,unresolved,,"best=crossref:0.67:10.7717/peerj.6617/table-2; skipped=semanticscholar,arxiv (rate-limited)",cr::10.5962/bhl.title.134807,10.5962/bhl.title.134807,-9.052264642117017,0.0018800938600636121,False
Burnicki_2011_spatio-temporal-errors-land-cover::b8,unresolved,,"best=crossref:0.53:10.1201/9781420038101-7; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1017/cbo9780511574931.024,10.1017/cbo9780511574931.024,-9.052264642117017,0.0018800938600636121,False
Burnicki_2011_spatio-temporal-errors-land-cover::b9,resolved,10.1109/lgrs.2003.821696,via=crossref; ratio=0.99; year=2004,cr::10.1109/lgrs.2003.821696,10.1109/lgrs.2003.821696,25.318665014875503,0.9999999761041563,True
Burnicki_2011_spatio-temporal-errors-land-cover::b10,unresolved,,no_title_or_author (nothing to search on),cr::10.1080/0143116031000150004,10.1080/0143116031000150004,5.275291173855248,0.9748285993249786,False
Burnicki_2011_spatio-temporal-errors-land-cover::b11,resolved,10.2307/2533962,via=crossref; ratio=0.98; year=1997,cr::10.2307/2533962,10.2307/2533962,28.5678892892533,0.9999999974869078,True
